"MetricId","Description","DataType","MetricFunction","MetricParameter","MetricFormat","DefaultValue","ValueType","MetricType"
QueuePctAnsweredInteractions120secAns,QM - Percent of Answered Interactions in 120 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredInteractions]==0 ? 0 : ((double)[QueueNumAnsweredInteractions120sec]/[QueueNumAnsweredInteractions]),##0.0%,,String,Agent
QueueNumberOfLoggedAgents,QM - Number of Logged In Agents,Interactions Summary,LogedInUsersCount, ,,,String,Agent
MonAgentCurrentLoginDuration,Agent - Current Login Duration,User,CurLoginDuration,"",,,String,Agent
MonSumAgentsAverageCallDuration,Agent Group - Average Talk Duration in Incoming Calls and Callbacks,UsersInteraction,TalkDurationAvg,"CallType==""External"" && Direction==""Incoming"" && (InteractionType == ""Call"" || InteractionType == ""Callback"") && !IsTalk && !IsInQueue",,,String,Agent
UserNumAllIntercom,Agent - Number of Internal Calls,User,InteractionsCount,"CallType==""Intercom""",,,String,Agent
MonAgentNumberOfInboundCalls15sec,Agent - Number of Incoming Calls with Talk Time less than 15 seconds,User,InteractionsCount,"CallType==""External"" && Direction==""Incoming"" &&  TalkTime<15 && (InteractionType==""Call"" || InteractionType==""Callback"")",,,String,Agent
MonAgentNumberOfInboundCalls10Min,Agent - Number of Incoming Calls with Talk Time more than 10 minutes,User,InteractionsCount,"CallType==""External"" && Direction==""Incoming"" && TalkTime>600 && (InteractionType==""Call"" || InteractionType==""Callback"")",,,String,Agent
MonAgentNumberOfInboundCallsDialer,Agent Group - Number of Dialer Calls,User,InteractionsCount," InteractionType==""Dialer"" && (CallType==""External"" || CallType==""Intercom"") && Direction==""Incoming""",,,String,Agent
RemotePhoneNumber,Agent - Active Interaction Customer Phone Number,User,LongestInteractionRemoteAddress, ,,,String,Agent
QueueLoginDataNumAvailableUsers,Agent Group - Number of Available Agents,UsersSummary,UsersInStatusGroupCount,AVAILABLE,,,String,Agent
MonAgentAvailableDuration,Agent - Available State Duration,User,TotalStatusGroupDuration,AVAILABLE,,,String,Agent
MonAgentNumberOfInboundCallsWithIntercom,Agent - Number of Incoming External and Internal Calls,User,InteractionsCount," (CallType==""External"" || CallType==""Intercom"") && Direction==""Incoming""  && (InteractionType==""Call"" || InteractionType==""Callback"")",,,String,Agent
MonAgentTodayLogin,Change -ID of a representative who was connected that day,User,IsTodayLogin,"",,,String,Agent
QueueLoginDataNumLoggedUsers,Agent Group - Number of Curently Logged in Users,UsersSummary,LogedInUsersCount,"",,,String,Agent
QueueLoginDataNumBreakUsers,Agent Group - Number of Agents in Break State Group,UsersSummary,UsersInStatusGroupCount,BREAK,,,String,Agent
QueueLoginDataNumPaperworkUsers,Agent Group - Number of Agents in Paperwork State Group,UsersSummary,UsersInStatusGroupCount,PAPERWORK,,,String,Agent
UsersSumOnCall,Agent Group - Number of On Call Agents,UsersSummary,UsersInStatusGroupCount,ONPHONE,,,String,Agent
MonAgentStation,Agent - Station ID,User,Station,"",,,String,Agent
MonAgentDurationOfCurrentCall,Agent - Current Incoming Ext Call Duration,User,CurStatusDuration,Incoming Ext Call,,,String,Agent
MonAgentNumberOfInboundCallsOnly,Agent - Number of Incoming External Calls,User,InteractionsCount," (InteractionType==""Call"" ||  InteractionType==""Callback"") && (CallType==""External"" || CallType==""Intercom"") && Direction==""Incoming""",,,String,Agent
MonAgentUserId,Agent - User ID,User,UserID,"",,,String,Agent
MonAgentAverageMakeCallDuration,Agent - Average Oubound Call Duration,User,TotalStatusDurationAvg,Out Ext Call,,,String,Agent
MonAgentAverageAgentDialerDuration,Agent - Average Dialer Calls Duration,User,TotalStatusDurationAvg,Campaign Call,,,String,Agent
AgentLoginName,Agent - Login Name,User,DisplayName,"",,,String,Agent
MonActiveCampaign,Agent - Active Interaction Queue Name,User,LongestInteractionWorkgroup,"",,,String,Agent
MonInteractionType,Agent - Active Interaction Type,User,LongestInteractionType,"",,,String,Agent
MonAgentState,Agent - Current Satatus,User,CurStatusTitle,"",,,String,Agent
MonAgentDurationOfCalls,Agent - Cumulative  Incoming Ext Call Duration,User,TotalStatusDuration,Incoming Ext Call,,,String,Agent
MonAgentAverageCallDuration,Agent - Average Handling Duration,User,TotalStatusGroupDurationAvg,ONPHONE,,,String,Agent
MonAgentExtension,Agent - Extension ID,User,UserExtension,"",,,String,Agent
MonAgentStateDuration,Agent - Current Status Duration,User,CurStatusDuration,"",,,String,Agent
MonAgentTelStateDuration,Agent - Active Interaction State Duration,User,LongestInteractionStateDuration,"",,,String,Agent
MonAgentNumberOfConsultCalls,Agent - Number of Consultation Calls,User,TotalStatusCount,Consulting Call,,,String,Agent
MonAgentNumberOfMakeCalls,Agent - Number of Outbound Calls,User,InteractionsCount,"InteractionType==""Call"" && CallType==""External"" && Direction==""Outgoing""",,,String,Agent
MonAgentBreakDuration,Agent - Cumulative Break Group Duration,User,TotalStatusGroupDuration,BREAK,,,String,Agent
MonAgentWrapUpDuration,Agent - Cumulative Wrap Up Duration,User,TotalStatusDuration,Wrap Up,,,String,Agent
MonAgentUnavailableStateDuration,Agent - Cumulative Unavailable State Duration,User,TotalStatusDuration,Unavailable,,,String,Agent
MonAgentStateDesc,Agent - Current Status Group,User,CurStatusGroup,"",,,String,Agent
MonAgentNumMakeCallsInCompleted,Agent - Number of Answered Incoming Calls,User,InteractionsCount," (InteractionType==""Call"" ||  InteractionType==""Callback"") && Direction==""Incoming"" && IsAnswered && !IsTalk",,,String,Agent
MonAgentAverageInboundCallDuration,Agent - Average Call Duration,User,TalkDurationAvg,"CallType==""External"" && (InteractionType==""Call"" || InteractionType==""Callback"")  && Direction==""Incoming"" && !IsTalk",,,String,Agent
MonAgentPaperworkDuration,Agent - Cumulative Paperwork Group Duration,User,TotalStatusGroupDuration,PAPERWORK,,,String,Agent
MonSumAgentsAnsweredCalls,Agent Group - Number of Answered Incoming Calls and Callbacks,UsersInteraction,InteractionsCount,"CallType==""External"" && Direction==""Incoming"" && !IsTalk && !IsInQueue && (InteractionType == ""Call"" || InteractionType == ""Callback"") && IsAnswered",,,String,Agent
MonSumAgentsMakeCalls,Agent Group - Number of Otbound Calls,UsersInteraction,InteractionsCount,"CallType==""External"" && Direction==""Outgoing""",,,String,Agent
MonSumAgentsAverageChatDuration,Agent Group - Average Talk Duration in Incoming Chats,UsersInteraction,TalkDurationAvg,"CallType==""External"" && Direction==""Incoming"" && (InteractionType == ""Chat"") && !IsTalk && !IsInQueue",,,String,Agent
MonSumAgentsBreakDurationPercent,Agent Group - Percent of Agents in Break State Group,UsersInteraction,UsersInStatusGroupDurationPercent,BREAK,##0.00%,,String,Agent
MonSumAgentsPaperworkDurationPercent,Agent Group - Percent of Agents in Paperwork State Group,UsersInteraction,UsersInStatusGroupDurationPercent,PAPERWORK,##0.00%,,String,Agent
MonSumAgentsLongestCurrentCall,Agent Group - Current Max Talk Duration,UsersInteraction,TalkDurationCurMax,"CallType==""External"" && Direction==""Incoming""",,,String,Agent
MonAgentOutgoingCallbacksNum,Agent - Number of Outgoing Callbacks,User,InteractionsCount,"InteractionType==""Callback"" && Direction==""Outgoing"" && IsAnswered",,,String,Agent
QueueNumAnsweredCalls360sec,QM - Number of Answered Calls in 360 sec,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered && TimeInQueue<360",,,String,Agent
QueuePctAnsweredCalls360secInc,QM - Percent of Answered Calls in 360 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls360sec]/[QueueNumIncomingCompletedCalls]),##0.00%,,String,Agent
MonAgentMaxCallDuration,Agent - Max Call Duration,User,TalkDurationMax,"CallType==""External"" && (InteractionType==""Call"" || InteractionType==""Callback"") && Direction==""Incoming""",,,String,Agent
MonAgentLoginTime,Agent - Cumulative Login Duration,User,TotalLoginDuration,"",,,String,Agent
MonAgentStateDescDuration,Agent - Current Status Group Duration,User,CurStatusGroupDuration,"",,,String,Agent
MonAgentFirstLoginTimeStamp,Agent - First Login Time Stamp,User,FirstLoginTimestamp,"",,,String,Agent
MonAgentCurrentLoginTimeStamp,Agent - Current Login Time Stamp,User,CurLoginTimeStamp,"",,,String,Agent
MonAgentProxyCallsNum,Agent - Number of Incoming Callbacks,User,InteractionsCount,"InteractionType==""Callback"" && Direction==""Incoming""  && IsAnswered && !IsCallbackRequest",,,String,Agent
MonAgentHeldDuration,Agent - Cumulative Hold Duration,User,TotalStatusDuration,Hold,,,String,Agent
